nombre,descripcion,precio_venta_actual,id_marca,id_categoria
Campera Compression v54,Indumentaria deportiva serie 74 para alto rendimiento.,24252.99,2,5
Medias Dry-Fit v77,Indumentaria deportiva serie 75 para alto rendimiento.,87235.0,2,1
Buzo Elite v6,Indumentaria deportiva serie 76 para alto rendimiento.,76476.4,3,5
Medias Dry-Fit v47,Indumentaria deportiva serie 77 para alto rendimiento.,37857.32,1,3
Calza Elite v67,Indumentaria deportiva serie 78 para alto rendimiento.,76780.88,2,5
Pantalón Compression v49,Indumentaria deportiva serie 79 para alto rendimiento.,118566.23,3,1
Top Tech v72,Indumentaria deportiva serie 80 para alto rendimiento.,41786.55,1,2
Remera Ultra v19,Indumentaria deportiva serie 81 para alto rendimiento.,18246.89,3,4
Pantalón Compression v24,Indumentaria deportiva serie 82 para alto rendimiento.,142762.46,2,5
Campera Ultra v40,Indumentaria deportiva serie 83 para alto rendimiento.,76784.3,3,3
Campera Aeroswift v59,Indumentaria deportiva serie 84 para alto rendimiento.,27271.73,3,3
Short Training v68,Indumentaria deportiva serie 85 para alto rendimiento.,38761.15,1,5
Calza Dry-Fit v50,Indumentaria deportiva serie 86 para alto rendimiento.,65016.02,1,1
Pantalón Dry-Fit v67,Indumentaria deportiva serie 87 para alto rendimiento.,86574.07,1,2
Medias Training v11,Indumentaria deportiva serie 88 para alto rendimiento.,97052.17,1,2
Remera Elite v64,Indumentaria deportiva serie 89 para alto rendimiento.,119693.8,3,2
Medias Tech v95,Indumentaria deportiva serie 90 para alto rendimiento.,144554.74,2,3
Short Training v80,Indumentaria deportiva serie 91 para alto rendimiento.,93542.44,3,2
Campera Basic v55,Indumentaria deportiva serie 92 para alto rendimiento.,50370.31,3,1
Short Elite v48,Indumentaria deportiva serie 93 para alto rendimiento.,123545.48,1,2
Pantalón Compression v48,Indumentaria deportiva serie 94 para alto rendimiento.,60435.6,2,1
Buzo Basic v24,Indumentaria deportiva serie 95 para alto rendimiento.,132750.68,3,3
Calza Basic v70,Indumentaria deportiva serie 96 para alto rendimiento.,143330.02,2,2
Medias Dry-Fit v38,Indumentaria deportiva serie 97 para alto rendimiento.,33800.61,3,1
Short Pro v64,Indumentaria deportiva serie 98 para alto rendimiento.,133167.8,2,1
Calza Pro v69,Indumentaria deportiva serie 99 para alto rendimiento.,27583.0,1,1
Remera Aeroswift v39,Indumentaria deportiva serie 100 para alto rendimiento.,109731.35,3,4
Pantalón Pro v11,Indumentaria deportiva serie 101 para alto rendimiento.,95913.45,3,3
Pantalón Elite v42,Indumentaria deportiva serie 102 para alto rendimiento.,70004.51,2,2
Medias Tech v7,Indumentaria deportiva serie 103 para alto rendimiento.,124885.97,2,2
Zapatillas Basic v82,Indumentaria deportiva serie 104 para alto rendimiento.,147892.01,2,4
Zapatillas Dry-Fit v57,Indumentaria deportiva serie 105 para alto rendimiento.,84546.2,3,4
Remera Aeroswift v27,Indumentaria deportiva serie 106 para alto rendimiento.,54420.67,2,1
Campera Compression v60,Indumentaria deportiva serie 107 para alto rendimiento.,18565.25,2,4
Short Tech v33,Indumentaria deportiva serie 108 para alto rendimiento.,67800.48,3,5
Medias Dry-Fit v11,Indumentaria deportiva serie 109 para alto rendimiento.,111204.36,1,4
Buzo Ultra v66,Indumentaria deportiva serie 110 para alto rendimiento.,142347.03,1,4
Pantalón Dry-Fit v3,Indumentaria deportiva serie 111 para alto rendimiento.,84633.21,1,3
Buzo Elite v85,Indumentaria deportiva serie 112 para alto rendimiento.,85568.84,3,1
Campera Ultra v20,Indumentaria deportiva serie 113 para alto rendimiento.,61073.04,3,2
Medias Basic v94,Indumentaria deportiva serie 114 para alto rendimiento.,42952.52,3,3
Zapatillas Compression v74,Indumentaria deportiva serie 115 para alto rendimiento.,72827.81,3,4
Top Basic v76,Indumentaria deportiva serie 116 para alto rendimiento.,76098.17,1,1
Campera Pro v74,Indumentaria deportiva serie 117 para alto rendimiento.,79856.81,2,1
Pantalón Pro v79,Indumentaria deportiva serie 118 para alto rendimiento.,41122.68,2,3
Medias Basic v26,Indumentaria deportiva serie 119 para alto rendimiento.,29511.1,1,1
Buzo Pro v78,Indumentaria deportiva serie 120 para alto rendimiento.,84398.53,2,1
Calza Dry-Fit v71,Indumentaria deportiva serie 121 para alto rendimiento.,98840.48,2,4
Pantalón Dry-Fit v49,Indumentaria deportiva serie 122 para alto rendimiento.,70902.72,1,2
Buzo Aeroswift v2,Indumentaria deportiva serie 123 para alto rendimiento.,76179.56,1,5
Zapatillas Elite v27,Indumentaria deportiva serie 124 para alto rendimiento.,113840.6,1,1
Calza Elite v57,Indumentaria deportiva serie 125 para alto rendimiento.,33268.89,2,2
Campera Basic v9,Indumentaria deportiva serie 126 para alto rendimiento.,73237.71,2,3
Campera Pro v47,Indumentaria deportiva serie 127 para alto rendimiento.,93967.82,1,3
Top Elite v83,Indumentaria deportiva serie 128 para alto rendimiento.,23219.9,3,3
Medias Dry-Fit v64,Indumentaria deportiva serie 129 para alto rendimiento.,17351.98,3,2
Short Ultra v78,Indumentaria deportiva serie 130 para alto rendimiento.,15057.31,2,2
Campera Tech v55,Indumentaria deportiva serie 131 para alto rendimiento.,71519.19,3,2
Top Compression v26,Indumentaria deportiva serie 132 para alto rendimiento.,73219.65,2,2
Short Ultra v46,Indumentaria deportiva serie 133 para alto rendimiento.,22417.42,2,5
Short Elite v54,Indumentaria deportiva serie 134 para alto rendimiento.,59867.33,1,2
Buzo Basic v39,Indumentaria deportiva serie 135 para alto rendimiento.,78464.12,1,4
Pantalón Basic v92,Indumentaria deportiva serie 136 para alto rendimiento.,35507.58,3,5
Top Tech v91,Indumentaria deportiva serie 137 para alto rendimiento.,137835.4,2,2
Calza Ultra v19,Indumentaria deportiva serie 138 para alto rendimiento.,63270.56,3,1
Campera Ultra v54,Indumentaria deportiva serie 139 para alto rendimiento.,94471.36,3,4
Short Tech v35,Indumentaria deportiva serie 140 para alto rendimiento.,60907.87,2,2
Medias Tech v59,Indumentaria deportiva serie 141 para alto rendimiento.,147376.17,3,1
Zapatillas Elite v36,Indumentaria deportiva serie 142 para alto rendimiento.,134593.34,2,5
Short Aeroswift v72,Indumentaria deportiva serie 143 para alto rendimiento.,115384.51,2,2
Top Tech v59,Indumentaria deportiva serie 144 para alto rendimiento.,93727.17,1,1
Zapatillas Basic v71,Indumentaria deportiva serie 145 para alto rendimiento.,66953.56,2,5
Zapatillas Elite v45,Indumentaria deportiva serie 146 para alto rendimiento.,93606.91,1,5
Pantalón Pro v41,Indumentaria deportiva serie 147 para alto rendimiento.,18866.28,3,2
Campera Compression v33,Indumentaria deportiva serie 148 para alto rendimiento.,148373.2,1,4
Medias Aeroswift v3,Indumentaria deportiva serie 149 para alto rendimiento.,61940.01,2,4
Zapatillas Training v79,Indumentaria deportiva serie 150 para alto rendimiento.,28538.49,3,1
Campera Dry-Fit v75,Indumentaria deportiva serie 151 para alto rendimiento.,147947.51,3,1
Medias Dry-Fit v77,Indumentaria deportiva serie 152 para alto rendimiento.,128472.8,1,4
Medias Aeroswift v48,Indumentaria deportiva serie 153 para alto rendimiento.,126501.6,3,3
Pantalón Tech v93,Indumentaria deportiva serie 154 para alto rendimiento.,87076.82,1,1
Medias Training v99,Indumentaria deportiva serie 155 para alto rendimiento.,50873.27,1,4
Pantalón Compression v99,Indumentaria deportiva serie 156 para alto rendimiento.,127301.4,1,2
Remera Pro v11,Indumentaria deportiva serie 157 para alto rendimiento.,124074.58,1,5
Short Compression v82,Indumentaria deportiva serie 158 para alto rendimiento.,34739.84,1,4
Remera Elite v99,Indumentaria deportiva serie 159 para alto rendimiento.,115784.86,1,4
Campera Training v56,Indumentaria deportiva serie 160 para alto rendimiento.,133896.7,2,3
Buzo Compression v12,Indumentaria deportiva serie 161 para alto rendimiento.,54976.83,1,3
Calza Compression v29,Indumentaria deportiva serie 162 para alto rendimiento.,77274.71,3,3
Medias Dry-Fit v93,Indumentaria deportiva serie 163 para alto rendimiento.,62742.15,3,5
Remera Tech v37,Indumentaria deportiva serie 164 para alto rendimiento.,52425.3,2,3
Buzo Dry-Fit v75,Indumentaria deportiva serie 165 para alto rendimiento.,75967.7,2,1
Remera Dry-Fit v91,Indumentaria deportiva serie 166 para alto rendimiento.,87284.13,1,4
Buzo Pro v39,Indumentaria deportiva serie 167 para alto rendimiento.,84993.78,3,4
Top Basic v34,Indumentaria deportiva serie 168 para alto rendimiento.,59292.85,1,1
Medias Elite v94,Indumentaria deportiva serie 169 para alto rendimiento.,104089.31,2,5
Top Aeroswift v82,Indumentaria deportiva serie 170 para alto rendimiento.,38953.48,1,5
Calza Ultra v83,Indumentaria deportiva serie 171 para alto rendimiento.,46921.91,2,1
Calza Ultra v4,Indumentaria deportiva serie 172 para alto rendimiento.,41629.95,2,2
Short Training v85,Indumentaria deportiva serie 173 para alto rendimiento.,94788.93,3,2
Remera Dry-Fit v29,Indumentaria deportiva serie 174 para alto rendimiento.,92531.06,2,2
Pantalón Elite v31,Indumentaria deportiva serie 175 para alto rendimiento.,65448.08,3,4
Medias Pro v97,Indumentaria deportiva serie 176 para alto rendimiento.,143650.11,2,1
Remera Training v64,Indumentaria deportiva serie 177 para alto rendimiento.,59015.19,1,2
Pantalón Elite v13,Indumentaria deportiva serie 178 para alto rendimiento.,19329.21,2,4
Pantalón Aeroswift v88,Indumentaria deportiva serie 179 para alto rendimiento.,25518.72,2,3
Short Dry-Fit v29,Indumentaria deportiva serie 180 para alto rendimiento.,59439.91,3,2
Zapatillas Ultra v93,Indumentaria deportiva serie 181 para alto rendimiento.,65666.61,1,4
Remera Pro v19,Indumentaria deportiva serie 182 para alto rendimiento.,49743.77,2,3
Zapatillas Pro v13,Indumentaria deportiva serie 183 para alto rendimiento.,99945.45,2,2
Calza Training v61,Indumentaria deportiva serie 184 para alto rendimiento.,105767.05,1,5
Pantalón Elite v6,Indumentaria deportiva serie 185 para alto rendimiento.,131577.9,2,1
Zapatillas Basic v55,Indumentaria deportiva serie 186 para alto rendimiento.,57659.06,2,5
Short Aeroswift v27,Indumentaria deportiva serie 187 para alto rendimiento.,18374.88,1,4
Buzo Basic v13,Indumentaria deportiva serie 188 para alto rendimiento.,117917.48,1,1
Calza Basic v30,Indumentaria deportiva serie 189 para alto rendimiento.,112219.8,1,2
Campera Basic v13,Indumentaria deportiva serie 190 para alto rendimiento.,134089.03,3,4
Top Pro v40,Indumentaria deportiva serie 191 para alto rendimiento.,46283.37,3,2
Medias Ultra v6,Indumentaria deportiva serie 192 para alto rendimiento.,62427.06,2,2
Medias Aeroswift v30,Indumentaria deportiva serie 193 para alto rendimiento.,93314.07,1,3
Remera Pro v1,Indumentaria deportiva serie 194 para alto rendimiento.,52748.16,3,3
Short Compression v9,Indumentaria deportiva serie 195 para alto rendimiento.,114008.2,2,3
Zapatillas Dry-Fit v54,Indumentaria deportiva serie 196 para alto rendimiento.,133870.54,3,3
Calza Pro v67,Indumentaria deportiva serie 197 para alto rendimiento.,37895.74,1,1
Top Tech v18,Indumentaria deportiva serie 198 para alto rendimiento.,75299.29,3,5
Medias Tech v94,Indumentaria deportiva serie 199 para alto rendimiento.,131444.39,3,5
Zapatillas Dry-Fit v26,Indumentaria deportiva serie 200 para alto rendimiento.,86324.84,3,5
Calza Pro v29,Indumentaria deportiva serie 201 para alto rendimiento.,78182.15,2,4
Medias Training v19,Indumentaria deportiva serie 202 para alto rendimiento.,68080.44,3,5
Zapatillas Pro v29,Indumentaria deportiva serie 203 para alto rendimiento.,108487.94,1,2
Zapatillas Ultra v79,Indumentaria deportiva serie 204 para alto rendimiento.,59352.61,2,2
Zapatillas Compression v4,Indumentaria deportiva serie 205 para alto rendimiento.,72290.01,3,4
Campera Training v97,Indumentaria deportiva serie 206 para alto rendimiento.,30994.32,3,1
Buzo Training v31,Indumentaria deportiva serie 207 para alto rendimiento.,89555.98,2,1
Pantalón Ultra v94,Indumentaria deportiva serie 208 para alto rendimiento.,85724.14,1,4
Top Aeroswift v22,Indumentaria deportiva serie 209 para alto rendimiento.,64806.28,1,5
Top Aeroswift v45,Indumentaria deportiva serie 210 para alto rendimiento.,33869.41,1,3
Top Elite v89,Indumentaria deportiva serie 211 para alto rendimiento.,138529.33,2,1
Pantalón Basic v43,Indumentaria deportiva serie 212 para alto rendimiento.,65612.17,2,5
Top Tech v48,Indumentaria deportiva serie 213 para alto rendimiento.,52301.5,3,5
Remera Training v76,Indumentaria deportiva serie 214 para alto rendimiento.,85462.8,1,4
Calza Basic v84,Indumentaria deportiva serie 215 para alto rendimiento.,132833.61,1,1
Remera Ultra v35,Indumentaria deportiva serie 216 para alto rendimiento.,52718.5,3,2
Campera Basic v36,Indumentaria deportiva serie 217 para alto rendimiento.,85093.15,3,5
Buzo Tech v11,Indumentaria deportiva serie 218 para alto rendimiento.,46576.1,2,5
Campera Compression v69,Indumentaria deportiva serie 219 para alto rendimiento.,134973.08,1,4
Buzo Compression v85,Indumentaria deportiva serie 220 para alto rendimiento.,147872.16,1,2
Campera Aeroswift v65,Indumentaria deportiva serie 221 para alto rendimiento.,72750.95,1,1
Buzo Dry-Fit v1,Indumentaria deportiva serie 222 para alto rendimiento.,141376.74,1,2
Campera Basic v89,Indumentaria deportiva serie 223 para alto rendimiento.,121696.99,3,1
Short Aeroswift v2,Indumentaria deportiva serie 224 para alto rendimiento.,142678.79,1,3
Zapatillas Ultra v78,Indumentaria deportiva serie 225 para alto rendimiento.,137838.43,2,2
Medias Training v61,Indumentaria deportiva serie 226 para alto rendimiento.,52079.01,1,3
Campera Aeroswift v76,Indumentaria deportiva serie 227 para alto rendimiento.,68991.73,3,3
Medias Tech v15,Indumentaria deportiva serie 228 para alto rendimiento.,35940.44,1,2
Medias Tech v51,Indumentaria deportiva serie 229 para alto rendimiento.,99709.29,3,1
Buzo Dry-Fit v62,Indumentaria deportiva serie 230 para alto rendimiento.,65963.55,2,1
Short Dry-Fit v85,Indumentaria deportiva serie 231 para alto rendimiento.,38651.81,1,1
Calza Training v5,Indumentaria deportiva serie 232 para alto rendimiento.,49759.66,3,2
Short Elite v15,Indumentaria deportiva serie 233 para alto rendimiento.,147009.06,3,2
Zapatillas Compression v30,Indumentaria deportiva serie 234 para alto rendimiento.,63690.9,2,1
Calza Tech v5,Indumentaria deportiva serie 235 para alto rendimiento.,39810.62,1,4
Pantalón Pro v39,Indumentaria deportiva serie 236 para alto rendimiento.,86561.56,2,3
Medias Ultra v98,Indumentaria deportiva serie 237 para alto rendimiento.,57755.43,2,4
Remera Aeroswift v56,Indumentaria deportiva serie 238 para alto rendimiento.,144418.7,3,2
Short Aeroswift v76,Indumentaria deportiva serie 239 para alto rendimiento.,120189.84,2,1
Pantalón Compression v20,Indumentaria deportiva serie 240 para alto rendimiento.,107615.58,3,3
Medias Aeroswift v2,Indumentaria deportiva serie 241 para alto rendimiento.,65693.97,1,3
Zapatillas Dry-Fit v51,Indumentaria deportiva serie 242 para alto rendimiento.,108573.48,1,1
Pantalón Dry-Fit v70,Indumentaria deportiva serie 243 para alto rendimiento.,80658.59,3,2
Remera Aeroswift v51,Indumentaria deportiva serie 244 para alto rendimiento.,132308.72,3,2
Calza Dry-Fit v48,Indumentaria deportiva serie 245 para alto rendimiento.,105493.44,1,5
Top Compression v80,Indumentaria deportiva serie 246 para alto rendimiento.,22251.88,3,4
Buzo Compression v6,Indumentaria deportiva serie 247 para alto rendimiento.,37167.73,3,1
Top Training v33,Indumentaria deportiva serie 248 para alto rendimiento.,104013.32,1,5
Pantalón Pro v44,Indumentaria deportiva serie 249 para alto rendimiento.,98875.95,2,2
Pantalón Pro v40,Indumentaria deportiva serie 250 para alto rendimiento.,81505.3,2,5
Remera Tech v26,Indumentaria deportiva serie 251 para alto rendimiento.,57599.06,2,4
Top Tech v50,Indumentaria deportiva serie 252 para alto rendimiento.,72657.11,3,3
Short Ultra v66,Indumentaria deportiva serie 253 para alto rendimiento.,112261.26,1,2
Remera Tech v5,Indumentaria deportiva serie 254 para alto rendimiento.,89487.2,1,4
Zapatillas Tech v59,Indumentaria deportiva serie 255 para alto rendimiento.,140472.34,1,1
Campera Elite v40,Indumentaria deportiva serie 256 para alto rendimiento.,148133.06,3,5
Top Tech v83,Indumentaria deportiva serie 257 para alto rendimiento.,58557.03,3,5
Medias Ultra v61,Indumentaria deportiva serie 258 para alto rendimiento.,22376.21,1,5
Short Dry-Fit v90,Indumentaria deportiva serie 259 para alto rendimiento.,68779.6,3,3
Buzo Basic v20,Indumentaria deportiva serie 260 para alto rendimiento.,54760.56,3,5
Remera Dry-Fit v35,Indumentaria deportiva serie 261 para alto rendimiento.,95241.39,2,4
Medias Compression v25,Indumentaria deportiva serie 262 para alto rendimiento.,71818.6,3,5
Campera Training v7,Indumentaria deportiva serie 263 para alto rendimiento.,82871.87,2,5
Top Training v1,Indumentaria deportiva serie 264 para alto rendimiento.,37042.79,2,3
Campera Compression v53,Indumentaria deportiva serie 265 para alto rendimiento.,79810.77,1,4
Short Ultra v95,Indumentaria deportiva serie 266 para alto rendimiento.,128481.06,3,3
Top Basic v9,Indumentaria deportiva serie 267 para alto rendimiento.,56360.18,3,1
Calza Training v55,Indumentaria deportiva serie 268 para alto rendimiento.,55820.2,3,5
Pantalón Pro v12,Indumentaria deportiva serie 269 para alto rendimiento.,141365.68,1,1
Short Training v5,Indumentaria deportiva serie 270 para alto rendimiento.,44983.61,1,2
Pantalón Elite v47,Indumentaria deportiva serie 271 para alto rendimiento.,29887.26,2,3
Pantalón Pro v71,Indumentaria deportiva serie 272 para alto rendimiento.,63333.45,1,1
Buzo Pro v82,Indumentaria deportiva serie 273 para alto rendimiento.,141732.65,1,2
Remera Aeroswift v12,Indumentaria deportiva serie 274 para alto rendimiento.,85147.15,2,3
Campera Pro v37,Indumentaria deportiva serie 275 para alto rendimiento.,30330.34,2,1
Remera Elite v86,Indumentaria deportiva serie 276 para alto rendimiento.,87789.93,2,1
Buzo Tech v83,Indumentaria deportiva serie 277 para alto rendimiento.,26005.97,3,3
Zapatillas Elite v62,Indumentaria deportiva serie 278 para alto rendimiento.,85890.11,3,2
Campera Basic v87,Indumentaria deportiva serie 279 para alto rendimiento.,49478.91,2,2
Remera Basic v89,Indumentaria deportiva serie 280 para alto rendimiento.,92940.92,1,2
Pantalón Basic v2,Indumentaria deportiva serie 281 para alto rendimiento.,136103.57,1,3
Short Elite v9,Indumentaria deportiva serie 282 para alto rendimiento.,15187.14,3,5
Top Aeroswift v27,Indumentaria deportiva serie 283 para alto rendimiento.,95602.25,2,3
Top Aeroswift v24,Indumentaria deportiva serie 284 para alto rendimiento.,133217.55,1,5
Campera Aeroswift v25,Indumentaria deportiva serie 285 para alto rendimiento.,134808.77,3,4
Campera Tech v52,Indumentaria deportiva serie 286 para alto rendimiento.,17365.71,1,1
Zapatillas Ultra v8,Indumentaria deportiva serie 287 para alto rendimiento.,32768.37,2,4
Zapatillas Pro v63,Indumentaria deportiva serie 288 para alto rendimiento.,74445.32,2,3
Calza Elite v28,Indumentaria deportiva serie 289 para alto rendimiento.,61533.54,3,3
Medias Compression v22,Indumentaria deportiva serie 290 para alto rendimiento.,25272.63,1,4
Zapatillas Tech v84,Indumentaria deportiva serie 291 para alto rendimiento.,129015.83,3,3
Zapatillas Training v96,Indumentaria deportiva serie 292 para alto rendimiento.,130265.01,3,5
Buzo Aeroswift v60,Indumentaria deportiva serie 293 para alto rendimiento.,30960.31,2,5
Zapatillas Training v38,Indumentaria deportiva serie 294 para alto rendimiento.,83570.73,2,3
Zapatillas Compression v47,Indumentaria deportiva serie 295 para alto rendimiento.,142468.21,2,3
Zapatillas Pro v63,Indumentaria deportiva serie 296 para alto rendimiento.,39542.42,1,4
Calza Aeroswift v26,Indumentaria deportiva serie 297 para alto rendimiento.,80993.38,3,3
Buzo Basic v40,Indumentaria deportiva serie 298 para alto rendimiento.,97983.32,2,4
Medias Pro v73,Indumentaria deportiva serie 299 para alto rendimiento.,118737.25,1,4
Calza Pro v8,Indumentaria deportiva serie 300 para alto rendimiento.,21894.03,3,5
Remera Aeroswift v7,Indumentaria deportiva serie 301 para alto rendimiento.,84388.52,3,2
Medias Pro v5,Indumentaria deportiva serie 302 para alto rendimiento.,89065.96,2,4
Calza Compression v84,Indumentaria deportiva serie 303 para alto rendimiento.,17445.28,3,5
Medias Aeroswift v61,Indumentaria deportiva serie 304 para alto rendimiento.,79638.2,1,1
Top Training v82,Indumentaria deportiva serie 305 para alto rendimiento.,41651.28,3,1
Medias Pro v65,Indumentaria deportiva serie 306 para alto rendimiento.,128922.24,3,2
Pantalón Compression v73,Indumentaria deportiva serie 307 para alto rendimiento.,18144.58,1,2
Short Aeroswift v94,Indumentaria deportiva serie 308 para alto rendimiento.,33545.68,2,1
Short Aeroswift v22,Indumentaria deportiva serie 309 para alto rendimiento.,17476.98,1,4
Zapatillas Training v61,Indumentaria deportiva serie 310 para alto rendimiento.,68070.64,3,4
Buzo Elite v71,Indumentaria deportiva serie 311 para alto rendimiento.,68829.29,1,4
Remera Ultra v59,Indumentaria deportiva serie 312 para alto rendimiento.,26607.85,1,3
Remera Training v3,Indumentaria deportiva serie 313 para alto rendimiento.,47782.54,1,3
Medias Basic v66,Indumentaria deportiva serie 314 para alto rendimiento.,113225.37,3,1
